movie,genres
Slayers: Excellent,"['Animation', 'Adventure', 'Comedy', 'Fantasy']"
Dracula,['Horror']
Moby Dick: The True Story,"['Documentary', 'History']"
Kora Kagaz,"['Drama', 'Musical', 'Family', 'Romance']"
Blue Streak,"['Action', 'Comedy', 'Crime', 'Thriller']"
Beast Cops,"['Action', 'Crime', 'Drama', 'Mystery']"
Madhouse,['Comedy']
Dogtown and Z-Boys,"['Documentary', 'Sport']"
Captain Jack,['Drama']
Swingers,"['Comedy', 'Drama']"
Gone Fishin',"['Comedy', 'Crime']"
On the Town,"['Comedy', 'Musical', 'Romance']"
Gentleman's Agreement,"['Drama', 'Romance']"
Brian Wilson: Pet Sounds Live in London,['Music']
Hilary Duff: The Girl Can Rock,['Music']
Kiss of the Vampire,['Horror']
Revenge of the Kung Fu Master,['Action']
Squeeze,"['Crime', 'Drama']"
Gang Related,"['Action', 'Crime', 'Drama', 'Romance', 'Thriller']"
The Player,"['Comedy', 'Crime', 'Drama', 'Thriller']"
Jailbreakers,"['Crime', 'Drama']"
Queen Margot,"['Biography', 'Drama', 'History', 'Romance']"
The Big Trees,"['Action', 'Romance', 'Western']"
Come and Get It,"['Drama', 'Romance']"
Scooby-Doo's Creepiest Capers,"['Animation', 'Comedy', 'Family', 'Mystery']"
Virtuosity,"['Action', 'Crime', 'Sci-Fi', 'Thriller']"
2 Days in the Valley,"['Comedy', 'Crime', 'Thriller']"
Yanks,"['Drama', 'War']"
Dirty Deeds,['Comedy']
The General's Daughter,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Quicksand,['Drama']
In the Beginning,"['Adventure', 'Drama']"
Down With Love,"['Comedy', 'Romance']"
Samourais,['Action']
Law & Order: Season 3,"['News', 'Talk-Show']"
The Gleaners and I,['Documentary']
Disco Godfather,"['Action', 'Crime', 'Drama', 'Thriller']"
Jersey Girl,"['Comedy', 'Drama', 'Romance']"
Price of Glory,"['Drama', 'Sport']"
Death Rides a Horse,['Western']
Bat Thumb,"['Comedy', 'Short']"
Antonio Gaudi,['Documentary']
Chaos,['Drama']
Stephen King's The Shining,"['Drama', 'Fantasy', 'Horror', 'Thriller']"
Ivan Vasilievich: Back to the Future,"['Adventure', 'Comedy', 'Sci-Fi']"
Otello,"['Drama', 'Romance']"
Barney: Now I Know My ABCs,['Family']
The Black Stallion,"['Adventure', 'Family', 'Sport']"
Bob the Builder: Dig,['Animation']
7 Faces of Dr. Lao,"['Fantasy', 'Mystery', 'Western']"
The Octagon,"['Action', 'Drama', 'Romance', 'Thriller']"
City Heat,"['Action', 'Comedy', 'Crime']"
Out of Sight,"['Crime', 'Drama', 'Romance', 'Thriller']"
When the Bough Breaks,"['Crime', 'Drama', 'Horror', 'Mystery', 'Romance', 'Thriller']"
Ella Enchanted,"['Comedy', 'Family', 'Fantasy', 'Romance']"
Attila,"['Action', 'Adventure', 'Biography', 'Drama', 'History', 'Romance', 'War']"
Chopper,"['Biography', 'Crime', 'Drama']"
The Cool Surface,['Thriller']
Lean on Me,['Drama']
Thesis,"['Horror', 'Mystery', 'Thriller']"
B.A.P.S.,['Comedy']
Pink Lady and Jeff,"['Comedy', 'Music']"
Defense of the Realm,['Thriller']
Babylon 5: A Call to Arms,"['Action', 'Adventure', 'Drama', 'Sci-Fi']"
Skins,['Drama']
Rocky IV,"['Drama', 'Sport']"
The Advocate,"['Crime', 'Drama', 'History', 'Mystery']"
Journey: 2001,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']"
House,"['Drama', 'Mystery']"
The Odyssey,"['Adventure', 'Drama', 'Fantasy', 'History']"
Law & Order: Criminal Intent: Season 3,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Dragons of the Orient,"['Action', 'Documentary']"
The League of Gentlemen: Series 1,"['Comedy', 'Fantasy', 'Horror']"
Little City,"['Comedy', 'Romance']"
Last Train from Gun Hill,"['Romance', 'Western']"
Much Ado About Nothing,"['Comedy', 'Drama', 'Romance']"
The Pink Panther,"['Comedy', 'Crime', 'Romance']"
No Mercy,"['Crime', 'Drama', 'Romance']"
Mockingbird Don't Sing,"['Biography', 'Drama']"
Floating,"['Drama', 'Romance']"
Happenstance,"['Comedy', 'Drama', 'Romance']"
Kull the Conqueror,"['Fantasy', 'Action', 'Adventure']"
Envy,['Comedy']
Bade Miyan Chote Miyan,"['Action', 'Comedy', 'Musical']"
Underground,"['Adventure', 'Drama', 'History', 'Thriller']"
Kiss Me Guido,['Comedy']
Enough,"['Crime', 'Drama', 'Thriller']"
Judge,"['Mystery', 'Thriller']"
The Adventures of Baron Munchausen,"['Adventure', 'Comedy', 'Fantasy']"
A Thousand Clouds of Peace,"['Drama', 'Romance']"
When It Was a Game 2,"['Documentary', 'History', 'Sport']"
In Pursuit of Honor,"['Action', 'Drama', 'War']"
Carmen Jones,"['Drama', 'Musical', 'Romance']"
She-Devils on Wheels,"['Action', 'Crime', 'Thriller']"
Bull Durham,"['Comedy', 'Romance', 'Sport']"
Young Hercules,"['Action', 'Adventure', 'Fantasy']"
Otis Redding: Remembering Otis,['Documentary']
Beyond the Stars,"['Sci-Fi', 'Drama']"
Bandits,"['Comedy', 'Crime', 'Drama', 'Romance']"
Casshan: Robot Hunter 1,"['Animation', 'Sci-Fi']"
Sleeper,"['Comedy', 'Sci-Fi']"
Barney: Best Manners,['Family']
Mr. Blandings Builds His Dream House,"['Comedy', 'Family', 'Fantasy']"
The X-Files: Season 4,"['Comedy', 'Talk-Show']"
Dracula III: Legacy,['Horror']
Bikini Bandits Experience,"['Crime', 'Comedy']"
The Goodbye Girl,"['Comedy', 'Drama', 'Romance']"
SLC Punk,"['Comedy', 'Drama', 'Music', 'Romance']"
Hero at Large,"['Comedy', 'Romance']"
Car 54,"['Animation', 'Comedy']"
Hollywood Homicide,"['Action', 'Comedy', 'Crime', 'Thriller']"
The West Wing: Season 2,"['Documentary', 'Short']"
Star Trek: Deep Space Nine: Season 4,"['Action', 'Adventure', 'Drama', 'Sci-Fi']"
An American Tail: The Mystery of the Night Monster,"['Animation', 'Adventure', 'Family', 'Mystery']"
In the Time of the Butterflies,"['Crime', 'Drama', 'Romance', 'Thriller']"
Army,"['Action', 'Drama']"
Monsieur Ibrahim,"['Comedy', 'Drama']"
Rocketship X-M,['Sci-Fi']
Master with Cracked Fingers,"['Action', 'Comedy', 'Drama']"
Carmen Electra's Aerobic Striptease,['Sport']
You Got Served,"['Drama', 'Music']"
The Magic of Flight: IMAX,"['Short', 'Documentary']"
Battle Royale,"['Adventure', 'Drama', 'Sci-Fi', 'Thriller']"
My Life on Ice,"['Comedy', 'Drama', 'Sport']"
Die Mommie Die,['Comedy']
Blackwoods,"['Drama', 'Mystery', 'Thriller']"
The Damned Don't Cry,"['Crime', 'Drama', 'Film-Noir', 'Romance', 'Thriller']"
Suddenly,"['Crime', 'Drama', 'Film-Noir', 'Thriller']"
Kids in the Hall: Tour of Duty,"['Documentary', 'Comedy']"
Jiminy Glick in La La Wood,"['Comedy', 'Mystery']"
The Spring,"['Drama', 'Sci-Fi']"
A Kiss Before Dying,"['Crime', 'Mystery', 'Thriller']"
Mad City,"['Crime', 'Drama', 'Thriller']"
The Pajama Game,"['Comedy', 'Drama', 'Musical', 'Romance']"
A Fish Called Wanda,"['Comedy', 'Crime']"
Blue's Clues: Blue's Big Band,"['Animation', 'Comedy', 'Family', 'Musical']"
Never Been Kissed,"['Comedy', 'Drama', 'Romance']"
Cheech & Chong's Still Smokin,"['Comedy', 'Music']"
Downtown 81,"['Comedy', 'Drama', 'Musical']"
Allosaurus: A Walking with Dinosaurs Special,['Documentary']
In Old California,"['Action', 'Romance', 'Western']"
Witches of the Caribbean,"['Drama', 'Fantasy', 'Horror']"
MPD Psycho,"['Horror', 'Mystery', 'Thriller']"
Legionnaire,"['Action', 'Adventure', 'Drama', 'War']"
Life Is Beautiful,"['Comedy', 'Drama', 'Romance', 'War']"
Lord of the Flies,"['Adventure', 'Drama', 'Thriller']"
Around the Bend,"['Comedy', 'Drama']"
Monument Ave.,"['Crime', 'Drama', 'Thriller']"
Rough Air,"['Action', 'Thriller']"
The Gospel According to Philip K. Dick,['Documentary']
Article 99,"['Drama', 'Comedy']"
Hanky Panky,"['Comedy', 'Romance']"
The Man from Snowy River,"['Adventure', 'Drama', 'Family', 'Romance', 'Western']"
Bear in the Big Blue House Live!,['Family']
Monster Garage,"['Reality-TV', 'Sport']"
The Man with Two Brains,"['Comedy', 'Romance', 'Sci-Fi']"
Deewaar,"['Action', 'Drama', 'Thriller']"
Stop! Or My Mom Will Shoot,"['Action', 'Comedy', 'Family', 'Romance']"
A Woman Called Moses,"['Biography', 'Drama']"
Clint Eastwood: Out of the Shadows,"['Documentary', 'Biography']"
Spider,"['Drama', 'Mystery', 'Thriller']"
Cheech & Chong's The Corsican Brothers,['Comedy']
Office Space,['Comedy']
The Great Silence,['Western']
Circuitry Man / Circuitry Man 2: Plughead Rewired,['Sci-Fi']
Jethro Tull: Nothing Is Easy: Live at the Isle of Wight 1970,['Documentary']
Deewane,"['Action', 'Romance']"
So Little Time,"['Comedy', 'Family']"
Bells Are Ringing,"['Comedy', 'Musical', 'Romance']"
The Client,"['Crime', 'Drama', 'Mystery']"
Closely Watched Trains,"['Comedy', 'Drama', 'Romance', 'War']"
Spooky House,"['Comedy', 'Family']"
Cooley High,"['Comedy', 'Drama', 'Romance']"
Mr. Jones,"['Biography', 'Drama', 'Thriller']"
Tarzan 2,"['Animation', 'Adventure', 'Comedy', 'Family']"
Alice in Wonderland,"['Adventure', 'Family', 'Fantasy']"
Nature: Dogs,"['Documentary', 'Family']"
The Big Heat,"['Crime', 'Film-Noir', 'Thriller']"
Wolverine,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Girls! Girls! Girls!,"['Comedy', 'Musical']"
Fist of Legend,"['Action', 'Drama', 'Thriller']"
The Amazing Race: Season 1,['Talk-Show']
Fast Times at Ridgemont High,"['Comedy', 'Drama']"
Angel of the Night,['Horror']
George of the Jungle 2,"['Adventure', 'Comedy', 'Family']"
The Man Show Presents: Girls on Trampolines,"['Short', 'Comedy', 'Music']"
The Housekeeper,"['Comedy', 'Drama', 'Romance']"
Prefontaine,"['Biography', 'Drama', 'Romance', 'Sport']"
Tombs of the Blind Dead,['Horror']
Gunner Palace,"['Documentary', 'War']"
What Planet Are You From?,"['Comedy', 'Sci-Fi']"
Iron Eagle 2,"['Action', 'Thriller', 'War']"
X-Men: Bonus Material,"['Short', 'Horror']"
Summer Rental,['Comedy']
Reckless,"['Crime', 'Drama']"
Air Force One,"['Action', 'Drama', 'Thriller']"
Project Grizzly,['Documentary']
The Wraith,"['Action', 'Horror', 'Romance', 'Sci-Fi', 'Thriller']"
RoboCop: Meltdown,"['Action', 'Crime', 'Sci-Fi']"
The Blood of Heroes,"['Action', 'Sci-Fi', 'Sport']"
The Hitcher II: I've Been Waiting,"['Horror', 'Thriller']"
Christ Stopped at Eboli,['Drama']
Star Trek: Deep Space Nine: Season 2,"['Action', 'Adventure', 'Drama', 'Sci-Fi']"
The City of No Limits,['Drama']
Divine Trash,['Documentary']
WWE: No Mercy 2002,['Talk-Show']
Cobb,"['Biography', 'Drama', 'Sport']"
South Park: Season 4,['Talk-Show']
Submarines,['Action']
Bandit Queen,"['Biography', 'Crime', 'Drama']"
The Clash: The Essential Clash,"['Documentary', 'Music']"
Irresponsible Captain Tylor TV Series,"['Animation', 'Comedy', 'Family', 'Sci-Fi']"
Red Dwarf: Series 4,['Documentary']
White Badge,['War']
Samurai Rebellion,['Drama']
Kung Fu: Season 2,"['Comedy', 'Horror', 'Mystery', 'Talk-Show', 'Thriller']"
Toy Story,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
Kandahar,"['Biography', 'Drama', 'War']"
Paparazzi,"['Action', 'Crime', 'Drama', 'Thriller']"
Amateur,"['Drama', 'Sport']"
Neverland,"['Biography', 'Drama', 'Family']"
The Lost World,"['Action', 'Adventure', 'Sci-Fi']"
Sting: Bring on the Night,"['Documentary', 'Music']"
Red Dwarf,"['Comedy', 'Sci-Fi']"
Surviving Gilligan's Island,"['Comedy', 'Drama']"
The Real McCoy,['Action']
The Fighting Sullivans,"['Biography', 'Drama', 'History', 'War']"
Cover Girl,"['Comedy', 'Musical', 'Romance']"
Mr. Skeffington,"['Drama', 'Romance']"
Gungrave,"['Animation', 'Action', 'Crime', 'Drama', 'Horror', 'Sci-Fi']"
English Babu Desi Mem,"['Comedy', 'Drama', 'Musical', 'Romance']"
Law and Order,"['Crime', 'Drama', 'Mystery', 'Thriller']"
The Adventures of Ichabod and Mr. Toad,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Horror']"
Manchester United: Play Like Champions,['Documentary']
Perfect Murder,['Drama']
Campion: Mystery Mile,"['Adventure', 'Crime', 'Drama', 'Mystery']"
Black Knight,"['Adventure', 'Comedy', 'Fantasy']"
Mondays in the Sun,"['Comedy', 'Drama']"
Screaming Dead,['Horror']
War and Peace,"['Drama', 'History', 'Romance', 'War']"
Nancherrow,"['Drama', 'Romance']"
Hum Tumhare Hain Sanam,"['Drama', 'Romance']"
The Story of Top Gun,"['Drama', 'Music']"
Black Beauty,"['Adventure', 'Drama', 'Family', 'Romance']"
Basic Instinct,"['Drama', 'Mystery', 'Thriller']"
Rocket Gibraltar,['Drama']
Scarface,"['Crime', 'Drama']"
Beyond the Gates of Splendor,['Documentary']
The Out-of-Towners,['Comedy']
Cheats,['Comedy']
The Disorderly Orderly,"['Comedy', 'Romance']"
Cadillac Man,"['Comedy', 'Crime']"
Sexual Predator,['Thriller']
Nurse Witch Komugi,"['Animation', 'Short', 'Comedy']"
Our Mutual Friend,['Drama']
Virgin,['Drama']
Moby Dick,"['Adventure', 'Drama']"
Ek Rishtaa,"['Drama', 'Family']"
Crocodile,"['Action', 'Adventure', 'Comedy', 'Horror', 'Thriller']"
Pennies from Heaven,"['Drama', 'Musical', 'Romance']"
Chandni,"['Drama', 'Musical', 'Romance']"
Metrosexuality,"['Drama', 'Comedy']"
The Master of Death,"['Action', 'Drama']"
Tupac Shakur: Before I Wake,"['Music', 'Documentary']"
Deceived,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Odds Against Tomorrow,"['Crime', 'Drama', 'Thriller']"
Gladiator,"['Action', 'Adventure', 'Drama']"
A Snake of June,"['Drama', 'Horror', 'Mystery', 'Thriller']"
Kwik Stop,['Comedy']
Waltz of the Toreadors,['Comedy']
Fiza,"['Action', 'Crime', 'Drama', 'Romance']"
The Eddy Duchin Story,"['Biography', 'Drama', 'Music', 'Romance']"
Unfinished Piece for the Player Piano,['Drama']
Left Behind: The Movie,"['Action', 'Drama', 'Fantasy', 'Sci-Fi', 'Thriller']"
Paragraph 175,"['Documentary', 'History', 'Romance', 'War']"
My Fellow Americans,"['Adventure', 'Comedy']"
The Fresh Prince of Bel Air: Season 2,['Comedy']
Let It Come Down: The Life of Paul Bowles,"['Documentary', 'Biography']"
The Public Enemy,"['Crime', 'Drama']"
Wonder Woman: Season 2,['News']
The Chosen,['Drama']
Elephant Walk,"['Adventure', 'Drama']"
Ten,"['Comedy', 'Romance']"
Wilder Napalm,"['Comedy', 'Fantasy']"
The First Wives Club,['Comedy']
Random Encounter,"['Thriller', 'Crime']"
The Tangerine Bear,"['Animation', 'Family']"
Cutter's Way,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Lambada,['Drama']
Wolves of Wall Street,"['Action', 'Horror', 'Mystery', 'Thriller']"
Profiler: Season 1,"['Documentary', 'Short']"
Triumph of the Spirit,"['Biography', 'Drama', 'History', 'Sport', 'War']"
Bloodfist,"['Action', 'Sport']"
The Best of Riverdance,['Musical']
A Fine Romance: Set 3,"['Comedy', 'Romance']"
Marquis de Sade's Justine,"['Drama', 'Horror']"
55 Days at Peking,"['Action', 'Adventure', 'Drama', 'History', 'War']"
Jerry Maguire,"['Comedy', 'Drama', 'Romance', 'Sport']"
The Girl on the Bridge,"['Comedy', 'Drama', 'Romance']"
Gracie's Choice,['Drama']
Gorky Park,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Masculin Feminin,"['Drama', 'Romance']"
Transformers: Energon,"['Animation', 'Action', 'Adventure', 'Sci-Fi']"
Heist,"['Action', 'Crime', 'Thriller']"
Iron Eagle,"['Action', 'Thriller', 'War']"
Video Essentials,['Documentary']
Birthday Girl,"['Comedy', 'Crime', 'Thriller']"
Kiss of Death,"['Action', 'Crime', 'Thriller']"
The Ballad of Ramblin' Jack,"['Documentary', 'Biography', 'Music']"
Heaven,"['Crime', 'Drama', 'Romance', 'Thriller']"
Rumpole of the Bailey: Series 7,['Mystery']
Steal Big,['Comedy']
38 Special: Live at Sturgis,"['Documentary', 'Music']"
Fist of the North Star,"['Animation', 'Action', 'Drama', 'Fantasy']"
The Producers,"['Comedy', 'Musical']"
Tokyo Godfathers,"['Animation', 'Adventure', 'Comedy', 'Drama']"
Dinotopia: Quest for the Ruby Sunstone,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']"
Powder,"['Drama', 'Fantasy', 'Mystery', 'Sci-Fi', 'Thriller']"
Jennifer Lopez: Let's Get Loud,"['Documentary', 'Music', 'Musical']"
Thomas & Friends: New Friends for Thomas,"['Animation', 'Short', 'Family']"
City of Lost Souls,"['Musical', 'Comedy']"
Irma Vep,"['Comedy', 'Drama']"
Biggles: Adventures in Time,"['Adventure', 'Family', 'Sci-Fi', 'War']"
East Side Story,"['Crime', 'Drama', 'Film-Noir', 'Thriller']"
The Nest,['Comedy']
The Jackal,"['Action', 'Crime', 'Drama', 'Thriller']"
Winnie the Pooh: 123's,"['Animation', 'Short']"
Jeanne and the Perfect Guy,"['Drama', 'Musical', 'Romance']"
The Last of the Mohicans,"['Action', 'Adventure', 'Drama', 'Romance', 'War']"
Legend of Mulan,"['Animation', 'Adventure', 'Family']"
Cream: Strange Brew,['Music']
Zone of the Enders: Dolores,"['Animation', 'Action', 'Adventure', 'Comedy', 'Sci-Fi']"
Frazetta,['Documentary']
Bataan,['War']
Wilbur Wants to Kill Himself,"['Comedy', 'Drama', 'Romance']"
Herbie Goes Bananas,"['Adventure', 'Comedy', 'Family', 'Fantasy']"
The Sidewalks of Bangkok,"['Action', 'Adventure', 'Thriller']"
Tibet: Cry of the Snow Lion,"['Documentary', 'History']"
Far from Heaven,['Drama']
I'm the One That I Want,"['Short', 'Comedy']"
Cranes Are Flying,"['Short', 'Music']"
The Locals,"['Horror', 'Thriller']"
Nobody's Fool,"['Comedy', 'Drama', 'Romance']"
The Castle,"['Comedy', 'Drama']"
Rocco & His Brothers,"['Crime', 'Drama', 'Sport']"
Troma's War,"['Action', 'Adventure', 'Comedy', 'Horror']"
Divine Madness,"['Documentary', 'Comedy', 'Music']"
My Father's Glory,"['Adventure', 'Biography', 'Drama']"
The Providence Collection,['News']
Silly Symphonies,"['Documentary', 'Short']"
Carnage,"['Comedy', 'Drama']"
Terminal Velocity,"['Action', 'Mystery', 'Romance', 'Thriller']"
The Vanishing,"['Crime', 'Mystery', 'Thriller']"
Vagina Monologues: Eve Ensler,['Talk-Show']
Riding in Cars with Boys,"['Biography', 'Comedy', 'Drama']"
Son of Gascogne,"['Comedy', 'Drama', 'Music', 'Romance']"
Playing by Heart,"['Comedy', 'Drama', 'Romance']"
The Laughing Policeman,"['Crime', 'Drama', 'Thriller']"
Unfaithfully Yours,"['Comedy', 'Music', 'Romance']"
Keep the River on Your Right: A Modern Cannibal Tale,"['Documentary', 'Adventure', 'Romance']"
Virtual Sexuality,"['Comedy', 'Drama', 'Romance', 'Sci-Fi']"
Batman the Animated Series: Vol. 2,"['Animation', 'Action', 'Adventure', 'Family', 'Sci-Fi']"
Mulan 2,"['Animation', 'Action', 'Comedy', 'Family', 'Musical']"
Jay-Z: Streets Is Watching,['Musical']
Dream with the Fishes,"['Comedy', 'Drama']"
Love in Thoughts,"['Drama', 'Romance']"
You Can Count on Me,['Drama']
Behind the Sun,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Dark Angel: Season 2,['Documentary']
The Adventurers,"['Action', 'Adventure', 'Crime', 'Drama']"
Tadpole,"['Comedy', 'Drama', 'Romance']"
Absence of the Good,['Thriller']
Donnie Darko: Director's Cut,['Talk-Show']
B.B. King: Sweet 16,['Reality-TV']
Trans,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Why Do They Call It Love When They Mean Sex?,['Comedy']
Ellen DeGeneres: The Beginning,"['Comedy', 'Documentary']"
A Price Above Rubies,"['Drama', 'Romance']"
Dark Blue,"['Crime', 'Drama', 'Thriller']"
Rites of Passage,['Thriller']
Ali: Fear Eats the Soul,"['Drama', 'Romance']"
Raging Bull,"['Biography', 'Drama', 'Sport']"
The Waiting List,"['Comedy', 'Drama', 'Romance']"
Dead or Alive,"['Action', 'Adventure']"
I Saw What You Did,"['Comedy', 'Horror', 'Thriller']"
Volcano,"['Action', 'Drama', 'Sci-Fi', 'Thriller']"
Half Japanese: The Band That Would Be King,['Documentary']
Kingdom Come,"['Drama', 'Romance', 'Western']"
Little John,"['Action', 'Fantasy']"
Mercury Rising,"['Action', 'Crime', 'Drama', 'Thriller']"
The Even Stevens Movie,"['Comedy', 'Family']"
Phat Beach,['Comedy']
Kansas City,"['Crime', 'Drama', 'Music', 'Thriller']"
Foxfire,['Drama']
Fata Morgana,"['Documentary', 'Comedy', 'Drama']"
It's in the Water,"['Comedy', 'Romance']"
The Dame Edna Experience: Series 2,"['Comedy', 'Talk-Show']"
The Breed,"['Action', 'Adventure', 'Comedy', 'Horror', 'Sci-Fi', 'Thriller']"
Little House on the Prairie: There's No Place Like Home,"['Drama', 'Family', 'Romance', 'Western']"
Gilbert and Sullivan: The Mikado,"['Biography', 'Drama']"
Triumph of Love,"['Drama', 'Romance', 'Thriller']"
Elvis: Aloha from Hawaii,"['Documentary', 'Music']"
The Trip,['Comedy']
The Far Pavilions,"['Drama', 'History', 'Romance']"
Without Limits,"['Biography', 'Drama', 'Sport']"
Memphis Belle,"['Action', 'Drama', 'War']"
The Curse of the Bambino,"['Short', 'Comedy', 'Mystery']"
Cyber City Oedo 808: Vol. 1-3,"['Animation', 'Action', 'Crime', 'Sci-Fi', 'Thriller']"
Jason X,"['Action', 'Horror', 'Sci-Fi', 'Thriller']"
The Princess Diaries 2: Royal Engagement,"['Comedy', 'Family', 'Romance']"
The Bunker,"['Drama', 'History', 'War']"
Ruby Bridges,"['Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Musical']"
Nymphoid Barbarian in Dinosaur Hell,"['Fantasy', 'Horror', 'Sci-Fi']"
Reversible Errors,"['Crime', 'Drama', 'Thriller']"
On Line,['Drama']
Homicide: Life on the Street: Season 5,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Speedway Junky,"['Crime', 'Drama', 'Romance']"
Witch Hunter Robin,"['Animation', 'Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery']"
The Jolson Story,"['Biography', 'Drama', 'Music']"
Mohabbatein,"['Musical', 'Drama', 'Romance']"
Rembrandt,"['Biography', 'Drama']"
The Stone Boy,['Drama']
National Geographic: Inside Special Forces,['Documentary']
Madonna: The Immaculate Collection,"['Music', 'Musical']"
Captain Kronos: Vampire Hunter,['Documentary']
Rakht,"['Horror', 'Thriller']"
Five Deadly Venoms,['Action']
Onibaba,"['Drama', 'Horror']"
Critters 3,"['Comedy', 'Horror', 'Sci-Fi', 'Thriller']"
Dizzy's Dream Band,['Documentary']
The Harder They Fall,"['Drama', 'Film-Noir', 'Sport', 'Thriller']"
Another Meltdown,"['Action', 'Thriller']"
Bush's Brain,['Documentary']
Cindy Crawford: Shape Your Body Workout,"['Documentary', 'Sport']"
Danny Deckchair,"['Comedy', 'Romance']"
Monster in the Closet,"['Comedy', 'Horror', 'Sci-Fi']"
Nostalghia,['Drama']
The Charcoal People,['Documentary']
Searching for Debra Winger,['Documentary']
Cast Away,"['Adventure', 'Drama', 'Romance']"
Slasher,"['Drama', 'Horror', 'Mystery']"
Joe's Apartment,"['Comedy', 'Fantasy', 'Musical', 'Sci-Fi']"
The Real World: Las Vegas,"['Drama', 'Reality-TV']"
Door to Door,['Drama']
Pendulum,"['Horror', 'Mystery']"
A Lot Like Love,"['Comedy', 'Drama', 'Romance']"
INXS: The Best of INXS: I'm Only Looking,"['Documentary', 'Music']"
Tom Sawyer,"['Adventure', 'Comedy', 'Drama', 'Family', 'Romance', 'Western']"
Dream for an Insomniac,"['Romance', 'Comedy', 'Drama']"
A Place in the Sun,"['Drama', 'Romance']"
Enter the Fat Dragon,"['Action', 'Comedy']"
Call Me Madam,"['Comedy', 'Musical', 'Romance']"
The Short Films of David Lynch,"['Documentary', 'Animation', 'Drama', 'Horror']"
Futuresport,"['Action', 'Sci-Fi', 'Sport', 'Thriller']"
